"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
529,"Warrenville Park Commissioner (Vote For 3)","MIKE MACHOWSKI","",1274,24.92,16674,4387,16,16,"0","3072"
530,"Warrenville Park Commissioner (Vote For 3)","TINA COONS","",1282,25.08,16674,4387,16,16,"0","3072"
531,"Warrenville Park Commissioner (Vote For 3)","JEAN M. DINA","",1198,23.44,16674,4387,16,16,"0","3072"
532,"West Chicago Park Commissioner (Vote For 2)","MATHIEU ENRICO GADBOIS PLUMLEE","",2063,43.38,26919,6672,24,24,"0","4012"
533,"West Chicago Park Commissioner (Vote For 2)","KATHLEEN UPLEGGER RIENDEAU","",2693,56.62,26919,6672,24,24,"0","4012"
534,"West Chicago Unexpired 2 Year Park Commissioner (Vote For 1)","FRANK P. LENERTZ","",3067,100.00,26919,6672,24,24,"0","1317"
535,"West Chicago Unexpired 4 Year Park Commissioner (Vote For 1)","DONALD R. VOELZ","",3021,100.00,26919,6672,24,24,"0","1363"
536,"Westmont Park Commissioner (Vote For 1)","MICHAEL CONNEELY","",3479,100.00,20446,5876,19,19,"0","1257"
537,"Wheaton Park Commissioner (Vote For 3)","WILLIAM R. BARRETT","",5987,32.24,54364,15135,53,53,"0","17149"
538,"Wheaton Park Commissioner (Vote For 3)","JOHN F. KELLY","",6102,32.86,54364,15135,53,53,"0","17149"
539,"Wheaton Park Commissioner (Vote For 3)","ANGELA WELKER","",6483,34.91,54364,15135,53,53,"0","17149"
540,"Winfield Park Commissioner (Vote For 3)","PATRICIA A. PLOMB","",1169,31.84,11144,3264,11,11,"0","2776"
541,"Winfield Park Commissioner (Vote For 3)","THOMAS A. NOVAK","",1266,34.49,11144,3264,11,11,"0","2776"
542,"Winfield Park Commissioner (Vote For 3)","PATRICIA S. WEBER","",1236,33.67,11144,3264,11,11,"0","2776"
543,"Wood Dale Park Commissioner (Vote For 1)","DENICE SBERTOLI","",881,100.00,9404,1505,10,10,"0","250"
544,"Wood Dale Unexpired 4 Year Park Commissioner (Vote For 0)","NO CANDIDATE/CANDIDATO","",0,0.00,9404,1505,10,10,"0","0"
